,building,geometry,amenity,healthcare,healthcare:speciality,building:levels,school_type,type,members,building_coordinates_x,building_coordinates_y,building_area,neighbourhood
499058125,yes,"POLYGON ((6.0493024 51.0056375, 6.0491475 51.0054913, 6.0492289 51.0054621, 6.0492825 51.0055213, 6.0493369 51.0055039, 6.0493469 51.0055149, 6.0494717 51.0054676, 6.0495428 51.0055483, 6.0493024 51.0056375))",,,,,,,,6.049347838713159,51.005543553484124,3.439753499949112e-08,1
618271264,yes,"POLYGON ((6.0579869 51.0046299, 6.057894 51.0044822, 6.0581522 51.0044179, 6.0582451 51.0045656, 6.0579869 51.0046299))",,,,,,,,6.058069550000002,51.0045239,4.410960999964113e-08,1
618271265,yes,"POLYGON ((6.0584006 51.0045389, 6.0583116 51.004382, 6.0584888 51.0043422, 6.0585778 51.0044991, 6.0584006 51.0045389))",,,,,,,,6.0584447,51.00444054999999,3.13448799994737e-08,1
618271272,yes,"POLYGON ((6.0581366 51.0043102, 6.0580966 51.0042379, 6.0580643 51.0041795, 6.0583136 51.0041248, 6.0583429 51.0041768, 6.058386 51.0042555, 6.0581366 51.0043102))",,,,,,,,6.05822523727877,51.00421747532599,3.65802999998064e-08,1
664180895,yes,"POLYGON ((6.0491513 51.0014264, 6.0491117 51.0013336, 6.0494292 51.0012798, 6.0494689 51.0013727, 6.0491513 51.0014264))",,,,,,,,6.049290306633987,51.00135312104158,3.161570499943182e-08,1
667103613,yes,"POLYGON ((5.9896705 50.9932526, 5.9896867 50.9932547, 5.989655 50.993352, 5.9896216 50.9934543, 5.9895944 50.9934508, 5.9895705 50.9935241, 5.9900066 50.9935805, 5.9900313 50.9935048, 5.9897079 50.993463, 5.9897401 50.9933642, 5.989804 50.9933724, 5.9897943 50.9934024, 5.9901206 50.9934445, 5.9901622 50.993317, 5.9898385 50.9932752, 5.9898353 50.9932848, 5.9897701 50.9932764, 5.9897737 50.9932653, 5.9897953 50.9932681, 5.9898207 50.99319, 5.9896962 50.9931739, 5.9896705 50.9932526))",,,,,,,,5.989847894103592,50.993392784087426,1.1132364000219002e-07,3
667103615,yes,"POLYGON ((5.9985836 50.9968692, 5.9987425 50.996827, 5.9986165 50.9966388, 5.9984563 50.9966813, 5.9984986 50.9967444, 5.9984424 50.9967593, 5.9985035 50.9968504, 5.9985608 50.9968352, 5.9985836 50.9968692))",,,,,,,,5.9985851585442065,50.996760317910066,4.147620000004918e-08,3
667282825,yes,"POLYGON ((5.9830985 50.9909592, 5.9833598 50.9909486, 5.9833531 50.9908834, 5.9832529 50.9908875, 5.9832361 50.9907239, 5.9831064 50.9907291, 5.9831229 50.9908912, 5.9830917 50.9908924, 5.9830985 50.9909592))",,,,,,,,5.9832000583523905,50.990858656949676,3.8470725000180156e-08,3
667282828,yes,"POLYGON ((5.9842497 50.9902254, 5.9848331 50.9902423, 5.9848425 50.9901131, 5.9842591 50.9900962, 5.9842497 50.9902254))",,,,,,,,5.9845461,50.99016925,7.553413999787563e-08,3
667282829,yes,"POLYGON ((5.9843647 50.9905351, 5.9843587 50.9906571, 5.9846907 50.9906636, 5.9847006 50.9904638, 5.9842067 50.9904542, 5.9842029 50.9905319, 5.9843647 50.9905351))",,,,,,,,5.984490760187194,50.99054996673623,7.898683999920775e-08,3
667282867,yes,"POLYGON ((5.9858751 50.9877587, 5.9863472 50.9878862, 5.9864858 50.9876828, 5.9860137 50.9875553, 5.9858751 50.9877587))",,,,,,,,5.986180449999998,50.987720749999994,1.1369664000016421e-07,3
686668549,yes,"POLYGON ((6.0481729 51.0080005, 6.0481359 51.0078551, 6.048444 51.0078241, 6.0484625 51.0078997, 6.0482684 51.0079211, 6.0482807 51.007985, 6.0481729 51.0080005))",,,,,,,,6.048279964358768,51.00789729647478,3.1707264999893514e-08,1
686668551,yes,"POLYGON ((6.0479136 51.0077779, 6.0478942 51.0076209, 6.0479932 51.007616, 6.048002 51.0076876, 6.0482173 51.0076771, 6.0482279 51.0077626, 6.0479136 51.0077779))",,,,,,,,6.0480409837126645,51.007712217806244,3.415518000019255e-08,1
686668552,yes,"POLYGON ((6.0483172 51.007715, 6.0483038 51.0076258, 6.0481126 51.0076372, 6.0481019 51.0075658, 6.0484093 51.0075475, 6.0484334 51.0077081, 6.0483172 51.007715))",,,,,,,,6.048295486280133,51.007616278518576,3.260012999928585e-08,1
686668553,yes,"POLYGON ((6.048511 51.0077544, 6.048495 51.007677, 6.0485855 51.0076695, 6.0485615 51.0075538, 6.0486869 51.0075435, 6.048727 51.0077366, 6.048511 51.0077544))",,,,,,,,6.048622701101419,51.00766019561604,3.1762960000936685e-08,1
686668554,yes,"POLYGON ((6.0485924 51.0080107, 6.0485671 51.0079289, 6.0487418 51.0079075, 6.0487111 51.0078084, 6.0488247 51.0077945, 6.0488806 51.0079754, 6.0485924 51.0080107))",,,,,,,,6.0487430389152,51.007919464760256,3.614904999925277e-08,1
705747007,yes,"POLYGON ((5.9968507 51.0166948, 5.9967582 51.0165607, 5.9967805 51.0165546, 5.9967353 51.016489, 5.996869 51.0164524, 5.9970068 51.0166522, 5.9968507 51.0166948))",,,,,,,,5.996865446958691,51.0165760292395,3.531046000061511e-08,0
705747009,yes,"POLYGON ((5.993771 51.0166682, 5.9947323 51.0166682, 5.9947323 51.0161714, 5.994271 51.0161714, 5.994271 51.0157411, 5.9937709 51.0157411, 5.993771 51.0166682))",,,,,,,,5.9941799860774845,51.016275812976424,6.927701949995044e-07,0
705747010,yes,"POLYGON ((5.9953244 51.0170181, 5.9953892 51.0170348, 5.9954424 51.0170634, 5.9954785 51.0171012, 5.9954939 51.0171441, 5.995487 51.017188, 5.9954555 51.0172309, 5.9954028 51.0172647, 5.9953351 51.0172853, 5.9952603 51.0172903, 5.9951872 51.017279, 5.9951245 51.017253, 5.9950794 51.0172151, 5.9950573 51.0171699, 5.9950597 51.0171258, 5.9950841 51.0170845, 5.9951279 51.0170502, 5.9951867 51.0170262, 5.9952545 51.0170152, 5.9953244 51.0170181))",,,,,,,,5.9952749525880975,51.01715245741005,9.337363499971231e-08,0
705747011,yes,"POLYGON ((5.9949686 51.0171712, 5.9950148 51.01719, 5.9950482 51.0172176, 5.9950649 51.0172506, 5.995063 51.0172852, 5.9950427 51.0173174, 5.9950093 51.0173419, 5.9949653 51.0173586, 5.9949153 51.0173657, 5.9948643 51.0173626, 5.9948174 51.0173495, 5.9947793 51.0173279, 5.994754 51.0172998, 5.994744 51.0172682, 5.9947503 51.0172362, 5.9947722 51.017207, 5.9948107 51.0171822, 5.9948602 51.017167, 5.994915 51.0171632, 5.9949686 51.0171712))",,,,,,,,5.994905083579891,51.017264514273116,5.046327000011332e-08,0
705747012,yes,"POLYGON ((5.9954945 51.0168668, 5.9954958 51.0169041, 5.9954769 51.0169395, 5.9954399 51.0169688, 5.9953894 51.0169884, 5.9953312 51.016996, 5.9952781 51.0169919, 5.9952296 51.0169776, 5.9951903 51.0169547, 5.9951643 51.0169252, 5.9951538 51.0168922, 5.99516 51.0168587, 5.9951823 51.0168281, 5.9952185 51.0168032, 5.9952651 51.0167866, 5.9953234 51.0167796, 5.9953821 51.0167856, 5.995434 51.0168037, 5.995473 51.0168319, 5.9954945 51.0168668))",,,,,,,,5.995325518766485,51.0168878753478,5.743330000018807e-08,0
